S,N,C,D,E,T,error,prob,type
0.9969604863221885,0.9009156311314584,0.9751216873985938,0.9157760814249364,0.8433420365535248,0.8873239436619719,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8994449885732941,0.9750947482403898,0.9156902699949058,0.8433420365535248,0.875,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.9006211180124224,0.9751216873985938,0.9157331975560081,0.8411458333333334,0.8873239436619719,replace_name_with_scene_kw,0.1,original
0.9969604863221885,0.8988580750407831,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.1,original
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8726053639846744,0.505512909979065,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8726053639846744,0.505512909979065,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8726053639846744,0.505512909979065,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8726663475347056,0.5055834729201564,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
1.0,0.8571428571428571,0.8726663475347056,0.5055834729201564,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
0.9969604863221885,0.9026867627785059,0.9751619870410367,0.9158403254513094,0.8411458333333334,0.9,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.904168034131933,0.9751619870410367,0.9159685199289159,0.8433420365535248,0.9,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9038713910761155,0.9751619870410367,0.9159685199289159,0.8433420365535248,0.9130434782608695,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9006211180124224,0.9751082251082251,0.9157331975560081,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9023910907304291,0.9751351351351352,0.9158831003811944,0.8433420365535248,0.9,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9044648719632304,0.9751619870410367,0.915989847715736,0.8433420365535248,0.9,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9003267973856209,0.9751082251082251,0.9157331975560081,0.8433420365535248,0.875,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9020956123117223,0.9751351351351352,0.9158189216683622,0.8433420365535248,0.875,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9044648719632304,0.9751887810140237,0.9159685199289159,0.8433420365535248,0.9130434782608695,replace_name_with_scene_kw,0.5,original
0.9969604863221885,0.9029826286463455,0.9751351351351352,0.9159044715447154,0.8433420365535248,0.8873239436619719,replace_name_with_scene_kw,0.5,original
1.0,0.8571428571428571,0.8729703915950334,0.505936583321693,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8729703915950334,0.505936583321693,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.872848948374761,0.5057952799888283,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8729096989966555,0.5058659217877095,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8729703915950334,0.505936583321693,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8727272727272727,0.5056540555633114,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8729096989966555,0.5058659217877095,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8729703915950334,0.505936583321693,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.872848948374761,0.5057952799888283,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
1.0,0.8571428571428571,0.8727881396461024,0.505724657916783,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
0.9969604863221885,0.9068466096115866,0.9752155172413793,0.9160963244613435,0.8411458333333334,0.9264705882352942,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.90625,0.9752021563342318,0.9160537661678925,0.8411458333333334,0.9130434782608695,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9065482066469234,0.9752021563342318,0.9160750507099391,0.8411458333333334,0.9130434782608695,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.90625,0.9752021563342318,0.9160750507099391,0.8411458333333334,0.9264705882352942,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9068466096115866,0.9752155172413793,0.9160963244613435,0.8411458333333334,0.9264705882352942,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9053565560302334,0.9751887810140237,0.9160111646790154,0.8411458333333334,0.9130434782608695,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9056541748849442,0.9751887810140237,0.9160537661678925,0.8433420365535248,0.9130434782608695,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9059519894771457,0.9752021563342318,0.9160537661678925,0.8411458333333334,0.9264705882352942,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9068466096115866,0.9752155172413793,0.9160963244613435,0.8411458333333334,0.9264705882352942,replace_name_with_scene_kw,0.9,original
0.9969604863221885,0.9065482066469234,0.9752021563342318,0.9160750507099391,0.8411458333333334,0.9130434782608695,replace_name_with_scene_kw,0.9,original
1.0,0.8571428571428571,0.8730310262529833,0.50600726459905,0.7081632653061225,1.0,replace_name_with_scene_kw,0.9,contiguous
1.0,0.8571428571428571,0.8730916030534351,0.5060779656280564,0.7081632653061225,1.0,replace_name_with_scene_kw,0.9,contiguous
