S,N,C,D,E,T,error,prob,type
0.9969604863221885,0.8985318107667211,0.9750812567713976,0.9156472986748216,0.8433420365535248,0.863013698630137,no error,,original
1.0,0.8571428571428571,0.8725443219932918,0.505442366731789,0.7081632653061225,1.0,no error,,contiguous
0.9969604863221886,0.8985318107667212,0.9750812567713977,0.9156472986748216,0.8433420365535248,0.863013698630137,replace_name_with_scene_kw,0.01,original
1.0,0.8571428571428571,0.8725443219932918,0.5054423667317891,0.7081632653061225,1.0,replace_name_with_scene_kw,0.01,contiguous
0.9969604863221886,0.8988255255069122,0.9750866489810166,0.9156601856949488,0.8431224162315056,0.8642123287671234,replace_name_with_scene_kw,0.05,original
1.0,0.8571428571428571,0.8725687329457097,0.505470586000081,0.7081632653061225,1.0,replace_name_with_scene_kw,0.05,contiguous
0.9969604863221886,0.8993242494821185,0.9750947467802741,0.9156881077613189,0.8431224162315056,0.866609589041096,replace_name_with_scene_kw,0.1,original
1.0,0.8571428571428571,0.872605346452269,0.5055129158872096,0.7081632653061225,1.0,replace_name_with_scene_kw,0.1,contiguous
0.9969604863221886,0.8997658781274582,0.9751001316964165,0.9157245596123025,0.8429027959094866,0.8751350569168436,replace_name_with_scene_kw,0.15,original
1.0,0.8571428571428571,0.8726419307716913,0.5055552556245457,0.7081632653061225,1.0,replace_name_with_scene_kw,0.15,contiguous
0.9969604863221886,0.9002063152028889,0.9751041820478745,0.9157481845341466,0.8431224162315056,0.8726365039552382,replace_name_with_scene_kw,0.2,original
1.0,0.8571428571428571,0.872623618165904,0.5055340926495377,0.7081632653061225,1.0,replace_name_with_scene_kw,0.2,contiguous
0.9969604863221886,0.9009143374172002,0.9751149446056147,0.9157931510523983,0.8431224162315056,0.8787999228246189,replace_name_with_scene_kw,0.3,original
1.0,0.8571428571428571,0.8727089601801421,0.5056328925940791,0.7081632653061225,1.0,replace_name_with_scene_kw,0.3,contiguous
0.9969604863221886,0.9019468469054873,0.975137813058247,0.9158381371971339,0.8420243146214099,0.8886267605633803,replace_name_with_scene_kw,0.4,original
1.0,0.8571428571428571,0.8727881047319839,0.5057246697479277,0.7081632653061225,1.0,replace_name_with_scene_kw,0.4,contiguous
0.9969604863221886,0.9027446616426431,0.975152583798969,0.9158809132872963,0.8420243146214099,0.893874854247582,replace_name_with_scene_kw,0.5,original
1.0,0.8571428571428571,0.8728305779044098,0.5057741367646066,0.7081632653061225,1.0,replace_name_with_scene_kw,0.5,contiguous
0.9969604863221886,0.9033369773423073,0.9751633115287687,0.9159108351388563,0.8420243146214099,0.8963426209430496,replace_name_with_scene_kw,0.6,original
